[2019/9/12 8:39:15 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 8:39:15 , Normal] -> 设置轴向归零参数 
 [2019/9/12 8:39:15 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 8:39:15 , Normal] -> 水平轴向归零成功 
 [2019/9/12 8:39:15 , Normal] -> 所有坐标清零成功 
 [2019/9/12 8:39:30 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 8:39:30 , Normal] -> 设置轴向归零参数 
 [2019/9/12 8:39:30 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 8:39:31 , Normal] -> 水平轴向归零成功 
 [2019/9/12 8:39:31 , Normal] -> 所有坐标清零成功 
 [2019/9/12 8:39:37 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 8:39:37 , Normal] -> 设置轴向归零参数 
 [2019/9/12 8:39:37 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 8:39:38 , Normal] -> 水平轴向归零成功 
 [2019/9/12 8:39:38 , Normal] -> 所有坐标清零成功 
 [2019/9/12 8:39:43 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 8:39:43 , Normal] -> 设置轴向归零参数 
 [2019/9/12 8:39:44 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 8:39:44 , Normal] -> 水平轴向归零成功 
 [2019/9/12 8:39:44 , Normal] -> 所有坐标清零成功 
 [2019/9/12 8:40:13 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 8:40:13 , Normal] -> 设置轴向归零参数 
 [2019/9/12 8:40:14 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 8:40:14 , Normal] -> 水平轴向归零成功 
 [2019/9/12 8:40:14 , Normal] -> 所有坐标清零成功 
 [2019/9/12 8:40:26 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 8:40:26 , Normal] -> 设置轴向归零参数 
 [2019/9/12 8:40:26 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 8:40:27 , Normal] -> 水平轴向归零成功 
 [2019/9/12 8:40:27 , Normal] -> 所有坐标清零成功 
 [2019/9/12 8:40:35 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 8:40:35 , Normal] -> 设置轴向归零参数 
 [2019/9/12 8:40:36 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 8:40:36 , Normal] -> 水平轴向归零成功 
 [2019/9/12 8:40:36 , Normal] -> 所有坐标清零成功 
 [2019/9/12 8:40:44 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 8:40:44 , Normal] -> 设置轴向归零参数 
 [2019/9/12 8:40:45 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 8:40:46 , Normal] -> 水平轴向归零成功 
 [2019/9/12 8:40:46 , Normal] -> 所有坐标清零成功 
 [2019/9/12 8:41:10 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 8:41:10 , Normal] -> 设置轴向归零参数 
 [2019/9/12 8:41:10 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 8:41:10 , Normal] -> 水平轴向归零成功 
 [2019/9/12 8:41:10 , Normal] -> 所有坐标清零成功 
 [2019/9/12 8:41:21 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 8:41:21 , Normal] -> 设置轴向归零参数 
 [2019/9/12 8:41:22 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 8:41:22 , Normal] -> 水平轴向归零成功 
 [2019/9/12 8:41:22 , Normal] -> 所有坐标清零成功 
