[2019/9/11 9:42:10 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 9:42:10 , Normal] -> 设置轴向归零参数 
 [2019/9/11 9:42:10 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 9:42:13 , Normal] -> 水平轴向归零成功 
 [2019/9/11 9:42:13 , Normal] -> 所有坐标清零成功 
 [2019/9/11 9:42:56 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 9:42:56 , Normal] -> 设置轴向归零参数 
 [2019/9/11 9:42:56 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 9:42:58 , Normal] -> 水平轴向归零成功 
 [2019/9/11 9:42:58 , Normal] -> 所有坐标清零成功 
 [2019/9/11 9:43:43 , Normal] -> 设备初始化失败！内容Device_Link_LTSMC.LSTMCException: 错误信息:错误Cannot_be_connected : 无法连接
, 错误编码:8 , 错误函数:LinkDevice, 错误轴向:总控制
   在 Device_Link_LTSMC.Device_Net_LSTMC.CallBack(String optionFunction, Int16[] erroCodes)
   在 Device_Link_LTSMC.Device_Net_LSTMC.LinkDevice()
   在 ControlDec.ConDevice.Link(Dictionary`2 infos) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 184 
 [2019/9/11 9:43:45 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 9:43:45 , Normal] -> 设置轴向归零参数 
 [2019/9/11 9:43:46 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 9:43:53 , Normal] -> 水平轴向归零成功 
 [2019/9/11 9:43:53 , Normal] -> 所有坐标清零成功 
 [2019/9/11 9:52:48 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 9:52:48 , Normal] -> 设置轴向归零参数 
 [2019/9/11 9:52:49 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 9:52:55 , Normal] -> 水平轴向归零成功 
 [2019/9/11 9:52:55 , Normal] -> 所有坐标清零成功 
 [2019/9/11 9:53:10 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 9:53:10 , Normal] -> 设置轴向归零参数 
 [2019/9/11 9:53:10 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 9:53:12 , Normal] -> 水平轴向归零成功 
 [2019/9/11 9:53:12 , Normal] -> 所有坐标清零成功 
 [2019/9/11 9:56:06 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 9:56:06 , Normal] -> 设置轴向归零参数 
 [2019/9/11 9:56:34 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 9:56:34 , Normal] -> 设置轴向归零参数 
 [2019/9/11 9:56:36 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 9:56:42 , Normal] -> 水平轴向归零成功 
 [2019/9/11 9:56:42 , Normal] -> 所有坐标清零成功 
 [2019/9/11 10:26:40 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 10:26:40 , Normal] -> 设置轴向归零参数 
 [2019/9/11 10:26:40 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 10:26:43 , Normal] -> 水平轴向归零成功 
 [2019/9/11 10:26:43 , Normal] -> 所有坐标清零成功 
 [2019/9/11 10:31:48 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 10:31:48 , Normal] -> 设置轴向归零参数 
 [2019/9/11 10:31:48 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 10:31:51 , Normal] -> 水平轴向归零成功 
 [2019/9/11 10:31:51 , Normal] -> 所有坐标清零成功 
 [2019/9/11 10:32:26 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 10:32:26 , Normal] -> 设置轴向归零参数 
 [2019/9/11 10:32:26 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 10:32:26 , Normal] -> 水平轴向归零成功 
 [2019/9/11 10:32:26 , Normal] -> 所有坐标清零成功 
 [2019/9/11 10:34:25 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 10:34:25 , Normal] -> 设置轴向归零参数 
 [2019/9/11 11:05:44 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 11:05:44 , Normal] -> 设置轴向归零参数 
 [2019/9/11 11:05:46 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 11:05:46 , Normal] -> 水平轴向归零成功 
 [2019/9/11 11:05:46 , Normal] -> 所有坐标清零成功 
 [2019/9/11 11:08:03 , Erro] -> 回零失败Device_Link_LTSMC.LSTMCException: Z正在执行上一次的任务，请先关闭或结束前一次的任务!
   在 Device_Link_LTSMC.LTSMC_Axis.CheckAxis()
   在 Device_Link_LTSMC.LTSMC_Axis.SetStartFindZeroParameters(Double speed, Direction ToZeroDir)
   在 ControlDec.ConDevice.AxisRunToZero(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 94 
 [2019/9/11 11:10:40 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 11:10:40 , Normal] -> 设置轴向归零参数 
 [2019/9/11 11:10:41 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 11:10:41 , Normal] -> 水平轴向归零成功 
 [2019/9/11 11:10:41 , Normal] -> 所有坐标清零成功 
 [2019/9/11 11:10:45 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 11:10:45 , Normal] -> 设置轴向归零参数 
 [2019/9/11 11:10:46 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 11:10:46 , Normal] -> 水平轴向归零成功 
 [2019/9/11 11:10:46 , Normal] -> 所有坐标清零成功 
 [2019/9/11 11:10:56 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 11:10:56 , Normal] -> 设置轴向归零参数 
 [2019/9/11 11:10:56 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 11:10:57 , Normal] -> 水平轴向归零成功 
 [2019/9/11 11:10:57 , Normal] -> 所有坐标清零成功 
 [2019/9/11 11:11:30 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 11:11:30 , Normal] -> 设置轴向归零参数 
 [2019/9/11 11:11:30 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 11:11:31 , Normal] -> 水平轴向归零成功 
 [2019/9/11 11:11:31 , Normal] -> 所有坐标清零成功 
 [2019/9/11 11:15:52 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 11:15:52 , Normal] -> 设置轴向归零参数 
 [2019/9/11 11:15:52 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 11:15:52 , Normal] -> 水平轴向归零成功 
 [2019/9/11 11:15:52 , Normal] -> 所有坐标清零成功 
 [2019/9/11 11:17:50 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 11:17:51 , Normal] -> 设置轴向归零参数 
 [2019/9/11 11:17:54 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 11:17:54 , Normal] -> 水平轴向归零成功 
 [2019/9/11 11:17:54 , Normal] -> 所有坐标清零成功 
 [2019/9/11 11:19:41 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 11:19:41 , Normal] -> 设置轴向归零参数 
 [2019/9/11 11:19:41 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 11:19:42 , Normal] -> 水平轴向归零成功 
 [2019/9/11 11:19:42 , Normal] -> 所有坐标清零成功 
 [2019/9/11 12:57:46 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 12:57:47 , Normal] -> 设置轴向归零参数 
 [2019/9/11 12:57:48 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 12:58:26 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 12:58:26 , Normal] -> 设置轴向归零参数 
 [2019/9/11 12:58:26 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 12:58:56 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 12:58:56 , Normal] -> 设置轴向归零参数 
 [2019/9/11 12:58:56 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 12:58:57 , Normal] -> 水平轴向归零成功 
 [2019/9/11 12:58:57 , Normal] -> 所有坐标清零成功 
 [2019/9/11 13:09:28 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 13:09:28 , Normal] -> 设置轴向归零参数 
 [2019/9/11 13:09:28 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 13:09:28 , Normal] -> 水平轴向归零成功 
 [2019/9/11 13:09:28 , Normal] -> 所有坐标清零成功 
 [2019/9/11 13:11:03 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 13:11:03 , Normal] -> 设置轴向归零参数 
 [2019/9/11 13:11:03 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 13:11:15 , Normal] -> 水平轴向归零成功 
 [2019/9/11 13:11:15 , Normal] -> 所有坐标清零成功 
 [2019/9/11 13:14:34 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 13:14:34 , Normal] -> 设置轴向归零参数 
 [2019/9/11 13:14:35 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 13:14:41 , Normal] -> 水平轴向归零成功 
 [2019/9/11 13:14:41 , Normal] -> 所有坐标清零成功 
 [2019/9/11 13:15:36 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 13:15:36 , Normal] -> 设置轴向归零参数 
 [2019/9/11 13:15:36 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 13:15:44 , Normal] -> 水平轴向归零成功 
 [2019/9/11 13:15:44 , Normal] -> 所有坐标清零成功 
 [2019/9/11 13:17:02 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 13:17:02 , Normal] -> 设置轴向归零参数 
 [2019/9/11 13:17:03 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 13:17:09 , Normal] -> 水平轴向归零成功 
 [2019/9/11 13:17:09 , Normal] -> 所有坐标清零成功 
 [2019/9/11 13:18:42 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 13:18:42 , Normal] -> 设置轴向归零参数 
 [2019/9/11 13:18:42 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 13:18:44 , Normal] -> 水平轴向归零成功 
 [2019/9/11 13:18:44 , Normal] -> 所有坐标清零成功 
 [2019/9/11 13:57:18 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 13:57:18 , Normal] -> 设置轴向归零参数 
 [2019/9/11 13:57:18 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 13:57:41 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 13:57:41 , Normal] -> 设置轴向归零参数 
 [2019/9/11 13:57:41 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 13:58:04 , Normal] -> 设备初始化失败！内容Device_Link_LTSMC.LSTMCException: 错误信息:错误Cannot_be_connected : 无法连接
, 错误编码:8 , 错误函数:LinkDevice, 错误轴向:总控制
   在 Device_Link_LTSMC.Device_Net_LSTMC.CallBack(String optionFunction, Int16[] erroCodes)
   在 Device_Link_LTSMC.Device_Net_LSTMC.LinkDevice()
   在 ControlDec.ConDevice.Link(Dictionary`2 infos) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 184 
 [2019/9/11 13:58:10 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 13:58:10 , Normal] -> 设置轴向归零参数 
 [2019/9/11 13:58:10 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 13:58:10 , Normal] -> 水平轴向归零成功 
 [2019/9/11 13:58:10 , Normal] -> 所有坐标清零成功 
 [2019/9/11 14:03:18 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 14:03:18 , Normal] -> 设置轴向归零参数 
 [2019/9/11 14:03:19 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 14:03:24 , Normal] -> 水平轴向归零成功 
 [2019/9/11 14:03:24 , Normal] -> 所有坐标清零成功 
 [2019/9/11 14:06:09 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 14:06:09 , Normal] -> 设置轴向归零参数 
 [2019/9/11 14:06:10 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 14:06:15 , Normal] -> 水平轴向归零成功 
 [2019/9/11 14:06:15 , Normal] -> 所有坐标清零成功 
 [2019/9/11 14:07:03 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 14:07:03 , Normal] -> 设置轴向归零参数 
 [2019/9/11 14:07:03 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 14:07:09 , Normal] -> 水平轴向归零成功 
 [2019/9/11 14:07:09 , Normal] -> 所有坐标清零成功 
 [2019/9/11 14:08:20 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 14:08:20 , Normal] -> 设置轴向归零参数 
 [2019/9/11 14:08:21 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 14:08:26 , Normal] -> 水平轴向归零成功 
 [2019/9/11 14:08:26 , Normal] -> 所有坐标清零成功 
 [2019/9/11 14:13:23 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 14:13:24 , Normal] -> 设置轴向归零参数 
 [2019/9/11 14:13:24 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 14:13:24 , Normal] -> 水平轴向归零成功 
 [2019/9/11 14:13:24 , Normal] -> 所有坐标清零成功 
 [2019/9/11 14:14:09 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 14:14:09 , Normal] -> 设置轴向归零参数 
 [2019/9/11 14:14:11 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 14:14:16 , Normal] -> 水平轴向归零成功 
 [2019/9/11 14:14:16 , Normal] -> 所有坐标清零成功 
 [2019/9/11 14:14:49 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 14:14:49 , Normal] -> 设置轴向归零参数 
 [2019/9/11 14:14:50 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 14:14:55 , Normal] -> 水平轴向归零成功 
 [2019/9/11 14:14:55 , Normal] -> 所有坐标清零成功 
 [2019/9/11 14:16:44 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 14:16:44 , Normal] -> 设置轴向归零参数 
 [2019/9/11 14:16:45 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 14:16:50 , Normal] -> 水平轴向归零成功 
 [2019/9/11 14:16:50 , Normal] -> 所有坐标清零成功 
 [2019/9/11 14:17:07 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 14:17:07 , Normal] -> 设置轴向归零参数 
 [2019/9/11 14:17:08 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/11 14:17:13 , Normal] -> 水平轴向归零成功 
 [2019/9/11 14:17:13 , Normal] -> 所有坐标清零成功 
 [2019/9/11 14:23:22 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/11 14:23:22 , Normal] -> 设置轴向归零参数 
